Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-1.2518E-05,0.00025287,-0.0020895,0,0,0,0.033536,5.9104E-06,3.3651E-11,-8.873E-09,1.1303E-05,2.1244E-09,6.7549E-06,0,0,0,0,0,0,package://人形V1.1.0-jixing-URDFv1.1.01.SLDASM/meshes/base_link.STL,0.98824,0.73725,0.51765,1,0,0,0,0,0,0,package://人形V1.1.0-jixing-URDFv1.1.01.SLDASM/meshes/base_link.STL,,躯体连接^人形V1.1.0-基本功能-URDFURDFv1.2-1/V1.1.0人形-腰部-腰URDFv1.2-1,CS_base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
waist_yaw_link,3.1706E-05,-7.3869E-07,0.0065459,0,0,0,0.035286,4.6516E-06,7.717E-11,-4.0619E-09,4.4014E-06,2.3865E-09,2.3235E-06,0,0,0,0,0,0,package://人形V1.1.0-jixing-URDFv1.1.01.SLDASM/meshes/waist_yaw_link.STL,0.98824,0.73725,0.51765,1,0,0,0,0,0,0,package://人形V1.1.0-jixing-URDFv1.1.01.SLDASM/meshes/waist_yaw_link.STL,,躯体连接^人形V1.1.0-基本功能-URDFURDFv1.2-1/V1.1.0人形-腰部-连接节URDFv1.2-1;躯体连接^人形V1.1.0-基本功能-URDFURDFv1.2-1/舵机带垫片URDFv1.2-1,CS_moto_1,R_moto_1,waist_yaw_joint,revolute,0,0,0,0,0,0,base_link,0,0,1,2,99,-1.2,1.2,,,,,,,,
torso_link,-0.024893,-2.0775E-05,0.072618,0,0,0,0.50948,0.00063381,-9.064E-08,-8.7994E-06,0.00040147,8.8567E-07,0.00031368,0,0,0,0,0,0,package://人形V1.1.0-jixing-URDFv1.1.01.SLDASM/meshes/torso_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://人形V1.1.0-jixing-URDFv1.1.01.SLDASM/meshes/torso_link.STL,,躯体连接^人形V1.1.0-基本功能-URDFURDFv1.2-1/舵机带垫片URDFv1.2-2;人形电路板极简装配体URDFv1.2-1;人形-电池包极简装配体URDFv1.2-1;人形V1.1.0-头部装配体URDFv1.2-1;复件 装配体2^人形V1.1.0-基本功能-URDFURDFv1.2-1,CS_moto_2,R_moto_2,waist_roll_joint,revolute,0.01995,-1.3874E-05,0.033929,0,0,0,waist_yaw_link,1,0,0,2,99,-0.5,0.5,,,,,,,,
l_shoulder_pitch_link,0.00010002,-0.011181,-0.00021086,0,0,0,0.037971,5.2307E-06,2.3676E-09,-4.5037E-09,2.7256E-06,-1.0408E-07,4.7363E-06,0,0,0,0,0,0,package://人形V1.1.0-jixing-URDFv1.1.01.SLDASM/meshes/l_shoulder_pitch_link.STL,1,1,1,1,0,0,0,0,0,0,package://人形V1.1.0-jixing-URDFv1.1.01.SLDASM/meshes/l_shoulder_pitch_link.STL,,镜向V1.1.0人形-右臂装配体URDFv1.2-2/镜向V1.1.0舵机带垫片URDFv1.2-3;镜向V1.1.0人形-右臂装配体URDFv1.2-2/镜向V1.1.0人形-右肩膀-肩膀连接身体URDFv1.2-1,CS_moto_3,R_moto_3,l_shoulder_pitch_joint,revolute,-0.019982,0.049803,0.11706,0,0,0,torso_link,0,1,0,2,99,-1.2,1.2,,,,,,,,
l_shoulder_roll_link,-0.017467,0.0007259,-0.0047307,0,0,0,0.046789,4.3163E-06,-8.3789E-08,5.2239E-07,6.6217E-06,-1.6151E-07,5.8876E-06,0,0,0,0,0,0,package://人形V1.1.0-jixing-URDFv1.1.01.SLDASM/meshes/l_shoulder_roll_link.STL,1,1,1,1,0,0,0,0,0,0,package://人形V1.1.0-jixing-URDFv1.1.01.SLDASM/meshes/l_shoulder_roll_link.STL,,镜向V1.1.0人形-右臂装配体URDFv1.2-2/镜向V1.1.0舵机带垫片URDFv1.2-1;镜向V1.1.0人形-右臂装配体URDFv1.2-2/镜向V1.1.0人形-右肩膀-肩膀舵机包覆URDFv1.2-1;镜向V1.1.0人形-右臂装配体URDFv1.2-2/镜向V1.1.0铝件3D打印-舵机压板-带豁口URDFv1.2-1;镜向V1.1.0人形-右臂装配体URDFv1.2-2/镜向V1.1.0铝件3D打印-腿杆1垫片^人形-右臂装配体URDFv1.2-1,CS_moto_4,R_moto_4,l_shoulder_roll_joint,revolute,0.017974,0.018741,-0.0053332,0,0,0,l_shoulder_pitch_link,1,0,0,2,99,0,1.2,,,,,,,,
l_shoulder_yaw_link,0.00139017748974117,5.66678433642914E-05,-0.0213976139772292,0,0,0,0.0424984195020791,6.64277933261157E-06,-1.24054307705383E-08,2.10136634200708E-07,6.90216160844664E-06,-7.1880719020768E-09,3.65594700106592E-06,0,0,0,0,0,0,package://人形V1.1.0-jixing-URDFv1.1.01.SLDASM/meshes/l_shoulder_yaw_link.STL,1,1,1,1,0,0,0,0,0,0,package://人形V1.1.0-jixing-URDFv1.1.01.SLDASM/meshes/l_shoulder_yaw_link.STL,,镜向V1.1.0人形-右臂装配体URDFv1.2-2/镜向V1.1.0舵机带垫片URDFv1.2-2;镜向V1.1.0人形-右臂装配体URDFv1.2-2/镜向V1.1.0右臂连接肩膀URDFv1.2-1;镜向V1.1.0人形-右臂装配体URDFv1.2-2/镜向直角舵机装配体URDFv1.2-1/镜向URDF直角舵机座URDFv1.2-1,CS_moto_5,R_moto_5,l_shoulder_yaw_joint,revolute,-0.020466,0.0030129,-0.023567,0,0,0,l_shoulder_roll_link,0,0,1,2,99,-1.2,1.2,,,,,,,,
l_forearm_link,0.00093881,0.008898,-0.054115,0,0,0,0.030632,1.0344E-05,-9.9298E-08,-1.4216E-06,1.1127E-05,1.2459E-07,2.6298E-06,0,0,0,0,0,0,package://人形V1.1.0-jixing-URDFv1.1.01.SLDASM/meshes/l_forearm_link.STL,1,1,1,1,0,0,0,0,0,0,package://人形V1.1.0-jixing-URDFv1.1.01.SLDASM/meshes/l_forearm_link.STL,,镜向V1.1.0人形-右臂装配体URDFv1.2-2/镜向直角舵机装配体URDFv1.2-1/镜向URDF直角轴URDFv1.2-1;镜向V1.1.0人形-右臂装配体URDFv1.2-2/镜向V1.1.0右臂-小臂URDFv1.2-1;镜向V1.1.0人形-右臂装配体URDFv1.2-2/镜向V1.1.0铝件3D打印-舵机压板-带豁口URDFv1.2-2;镜向V1.1.0人形-右臂装配体URDFv1.2-2/镜向V1.1.0右臂-手URDFv1.2-1,CS_moto_6,R_moto_6,l_elbow_pitch_joint,revolute,0.00450102700555451,-0.00929168133266989,-0.05105,0,0,0,l_shoulder_yaw_link,0,1,0,2,99,-1.2,0,,,,,,,,
r_shoulder_pitch_link,0.000100059632066383,0.0111805151466807,-0.00021087173635187,0,0,0,0.037970968797929,5.23074849249526E-06,-2.35662427601939E-09,-4.51170837213187E-09,2.72556977974154E-06,1.04083346673222E-07,4.736311215097E-06,0,0,0,0,0,0,package://人形V1.1.0-jixing-URDFv1.1.01.SLDASM/meshes/r_shoulder_pitch_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://人形V1.1.0-jixing-URDFv1.1.01.SLDASM/meshes/r_shoulder_pitch_link.STL,,V1.1.0人形-右臂装配体URDFv1.2-1/V1.1.0舵机带垫片URDFv1.2-7;V1.1.0人形-右臂装配体URDFv1.2-1/V1.1.0人形-右肩膀-肩膀连接身体URDFv1.2-1,CS_moto_7,R_moto_7,r_shoulder_pitch_joint,revolute,-0.0199821010439171,-0.0497752888455943,0.117056041163316,0,0,0,torso_link,0,1,0,2,99,-1.2,1.2,,,,,,,,
r_shoulder_roll_link,-0.0176331091792241,-0.00192775701561147,-0.0130574996285301,0,0,0,13.0304549688345,0.0021086388326766,6.21337058143224E-05,0.000401286391410836,0.0022699810401617,0.000123897885916436,0.00172135332474857,0,0,0,0,0,0,package://人形V1.1.0-jixing-URDFv1.1.01.SLDASM/meshes/r_shoulder_roll_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://人形V1.1.0-jixing-URDFv1.1.01.SLDASM/meshes/r_shoulder_roll_link.STL,,V1.1.0人形-右臂装配体URDFv1.2-1/V1.1.0舵机带垫片URDFv1.2-2;V1.1.0人形-右臂装配体URDFv1.2-1/V1.1.0铝件3D打印-腿杆1垫片^人形-右臂装配体URDFv1.2-1;V1.1.0人形-右臂装配体URDFv1.2-1/V1.1.0铝件3D打印-舵机压板-带豁口URDFv1.2-1;V1.1.0人形-右臂装配体URDFv1.2-1/V1.1.0人形-右肩膀-肩膀舵机包覆URDFv1.2-1,CS_moto_8,R_moto_8,r_shoulder_roll_joint,revolute,0.017974,-0.018741,-0.0053332,0,0,0,r_shoulder_pitch_link,1,0,0,2,99,-1.2,0,,,,,,,,
r_shoulder_yaw_link,0.00138988840431347,-5.65823670302945E-05,-0.0213978082571375,0,0,0,0.0424982015049493,6.64278574315917E-06,1.2532081251808E-08,2.10198227559762E-07,6.90210610609687E-06,7.33943316265194E-09,3.65584713741635E-06,0,0,0,0,0,0,package://人形V1.1.0-jixing-URDFv1.1.01.SLDASM/meshes/r_shoulder_yaw_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://人形V1.1.0-jixing-URDFv1.1.01.SLDASM/meshes/r_shoulder_yaw_link.STL,,V1.1.0人形-右臂装配体URDFv1.2-1/V1.1.0舵机带垫片URDFv1.2-4;V1.1.0人形-右臂装配体URDFv1.2-1/V1.1.0右臂连接肩膀URDFv1.2-1;V1.1.0人形-右臂装配体URDFv1.2-1/直角舵机装配体URDFv1.2-1/URDF直角舵机座URDFv1.2-1,CS_moto_9,R_moto_9,r_shoulder_yaw_joint,revolute,-0.0204659061735257,-0.00301291158004807,-0.0235668088196412,0,0,0,r_shoulder_roll_link,0,0,1,2,99,-1.2,1.2,,,,,,,,
